account_id|customer_id|account_number|account_type|balance|available_balance|currency|opened_date|is_active
ACCT56FB58B1|CUST000001|CHE295354|checking|8835.69|8835.69|USD||1
ACCT5AE7B360|CUST000001|SAV441475|savings|9521.9|9521.9|USD||1
ACCTF16D07CB|CUST000002|CHE325132|checking|716.18|716.18|USD||1
ACCT0EE9601B|CUST000003|CHE567551|checking|15000|15000|USD||1
ACCT09828E63|CUST000003|SAV715171|savings|4743.71|4743.71|USD||1
ACCTD449D6E2|CUST000004|CHE736220|checking|1542.81|1542.81|USD||1
ACCT74275D53|CUST000005|CHE469378|checking|15000|15000|USD||1
ACCT37520D5C|CUST000006|CHE521627|checking|15000|15000|USD||1
ACCTBA10D426|CUST000006|CHE654335|checking|4047.73|4047.73|USD||1
ACCT8B1D930C|CUST000006|CHE497793|checking|7802.41|7802.41|USD||1
ACCT59893522|CUST000006|SAV348422|savings|26449.94|26449.94|USD||1
ACCT9258CC82|CUST000007|CHE659732|checking|1447.51|1447.51|USD||1
ACCT0EA14D1D|CUST000008|CHE705301|checking|15000|15000|USD||1
ACCT6E048849|CUST000009|CHE581778|checking|2156.68|2156.68|USD||1
ACCTEF134587|CUST000010|CHE350026|checking|1942.24|1942.24|USD||1
ACCT4E15C08D|CUST000010|SAV719937|savings|10513.01|10513.01|USD||1
ACCT83EC710C|CUST000011|CHE857017|checking|3284.98|3284.98|USD||1
ACCTCCCAD158|CUST000012|CHE143880|checking|10498.31|10498.31|USD||1
ACCT9B88B60F|CUST000012|SAV827124|savings|50000|50000|USD||1
ACCT3CEF36A5|CUST000012|SAV441991|savings|44174.47|44174.47|USD||1
ACCT7FFE1B92|CUST000013|CHE152309|checking|6032.58|6032.58|USD||1
ACCT757FEAA2|CUST000014|CHE448525|checking|750.14|750.14|USD||1
ACCT9BE30B86|CUST000015|CHE257742|checking|3618.63|3618.63|USD||1
ACCT9D949CE1|CUST000016|CHE795041|checking|7211.01|7211.01|USD||1
ACCTCD86AC28|CUST000016|SAV327278|savings|6226.26|6226.26|USD||1
ACCTC0808006|CUST000017|CHE977851|checking|8077.34|8077.34|USD||1
ACCT64E9B93E|CUST000018|CHE394112|checking|12156.02|12156.02|USD||1
ACCT11120F00|CUST000018|SAV171164|savings|7819.26|7819.26|USD||1
ACCT72201646|CUST000019|CHE666120|checking|1414.57|1414.57|USD||1
ACCT356A7B06|CUST000019|INV141467|investment|54195.34|54195.34|USD||1
ACCT7619B9E4|CUST000020|CHE643060|checking|4204.3|4204.3|USD||1
ACCTFFA143B2|CUST000020|CRE427105|credit|0|5000|USD||1
ACCT74C613F1|CUST000021|CHE148797|checking|647.29|647.29|USD||1
ACCTEA60F3A5|CUST000022|CHE121840|checking|4128.39|4128.39|USD||1
ACCT7131A86E|CUST000022|SAV863114|savings|6088.98|6088.98|USD||1
ACCTDA879BBC|CUST000023|CHE102289|checking|9880.94|9880.94|USD||1
ACCTA0B016E4|CUST000023|CHE887175|checking|2870.06|2870.06|USD||1
ACCT851BA31D|CUST000024|CHE698128|checking|500|500|USD||1
ACCT39D1C476|CUST000025|CHE974966|checking|8930.16|8930.16|USD||1
ACCT83496A1E|CUST000026|CHE668412|checking|14874.71|14874.71|USD||1
ACCTEE88EF61|CUST000026|CRE861823|credit|0|1000|USD||1
ACCT8740464A|CUST000027|CHE277125|checking|15000|15000|USD||1
ACCTB677CCA4|CUST000027|CRE381085|credit|0|2500|USD||1
ACCT360292BF|CUST000027|CHE581781|checking|14916.53|14916.53|USD||1
ACCTE5744531|CUST000027|CHE945013|checking|15000|15000|USD||1
ACCTE0684D3A|CUST000028|CHE963476|checking|7110.88|7110.88|USD||1
ACCT849EF1E3|CUST000028|CRE440596|credit|0|10000|USD||1
ACCTC0B93B15|CUST000029|CHE519674|checking|2054.99|2054.99|USD||1
ACCTE66A84D0|CUST000030|CHE248138|checking|500|500|USD||1
ACCT516B9C9E|CUST000031|CHE713461|checking|7964.02|7964.02|USD||1
ACCTD776F8FB|CUST000032|CHE299585|checking|3011.99|3011.99|USD||1
ACCTE7F0CAC9|CUST000033|CHE590165|checking|10606.2|10606.2|USD||1
ACCTA4BDCC07|CUST000034|CHE458537|checking|6138.8|6138.8|USD||1
ACCTAD8A631C|CUST000035|CHE896756|checking|15000|15000|USD||1
ACCT32192B66|CUST000035|CHE482506|checking|3005.7|3005.7|USD||1
ACCT3DD7DDAC|CUST000036|CHE235266|checking|888.75|888.75|USD||1
ACCTBB732350|CUST000037|CHE640193|checking|2350.57|2350.57|USD||1
ACCTDD37F127|CUST000037|SAV742861|savings|18447.33|18447.33|USD||1
ACCT18920F0D|CUST000038|CHE177248|checking|2185.89|2185.89|USD||1
ACCT61331442|CUST000039|CHE957124|checking|15000|15000|USD||1
ACCTB59FC520|CUST000039|SAV775113|savings|21799.57|21799.57|USD||1
ACCT37FE1FAE|CUST000040|CHE404175|checking|15000|15000|USD||1
ACCTA90C07F1|CUST000040|SAV149738|savings|20209.1|20209.1|USD||1
ACCTF7975709|CUST000040|CRE950277|credit|0|10000|USD||1
ACCT74B4D008|CUST000041|CHE376997|checking|1819.54|1819.54|USD||1
ACCT6D852B0C|CUST000042|CHE617393|checking|11062.95|11062.95|USD||1
ACCTCF50DCEB|CUST000043|CHE314580|checking|1390.34|1390.34|USD||1
