customer_id|first_name|last_name|email|phone|date_of_birth|city|state|zip_code
CUST000001|Charles|Garcia|gprice@yahoo.com|227.827.2957|1999-03-11|||
CUST000002|Corey|Butler|hayeslaurie@hotmail.com|3773790933|1914-06-19|||
CUST000003|Jacqueline|Castro|wendy11@hotmail.com|649.770.5465x668|1925-10-27|||
CUST000004|Dr.|DVM|taylorsandra@hotmail.com|001-666-568-9187x4323|1960-06-19|||
CUST000005|Michael|Chase|kathyharmon@gmail.com|6707572582|1922-12-05|||
CUST000006|Joshua|Ruiz|rfletcher@hotmail.com|001-626-985-0801|1926-09-10|||
CUST000007|Charlene|Holmes|thomas03@hotmail.com|+1-406-274-4890|1911-02-28|||
CUST000008|Chad|Parker|wthompson@yahoo.com|(732)556-7738|1991-02-19|||
CUST000009|Pamela|Taylor|megangibson@yahoo.com|911.293.7014|1919-12-14|||
CUST000010|Brooke|Hunt|qscott@hotmail.com|001-956-646-5509x756|1927-06-13|||
CUST000011|Calvin|Ochoa|uwilkerson@gmail.com|001-634-955-4895|2005-07-10|||
CUST000012|Brenda|Walter|ybarrett@yahoo.com|279-388-5006x401|2009-11-20|||
CUST000013|Heather|Green|christopher04@gmail.com|891-488-6749|2002-05-12|||
CUST000014|Nicole|Martin|veronicamendoza@hotmail.com|509-516-7298x4057|1987-03-15|||
CUST000015|Vincent|Potts|stephensondavid@gmail.com|+1-219-687-7198x80004|1930-01-13|||
CUST000016|Natasha|Diaz|jordan66@gmail.com|284-918-9758x072|1948-08-19|||
CUST000017|Brian|Freeman|anthonypayne@yahoo.com|445.790.5737|1944-01-27|||
CUST000018|Joseph|Jones|kellydavis@gmail.com|7875093021|2005-09-24|||
CUST000019|Mr.|PhD|patrickrodriguez@hotmail.com|6233479098|1918-10-06|||
CUST000020|Timothy|Wilson|lwilson@gmail.com|471.603.3312x103|2020-02-08|||
CUST000021|Elizabeth|White|kenneth85@yahoo.com|+1-357-247-7624x2993|2002-02-12|||
CUST000022|Lauren|Franklin|joshuaparrish@gmail.com|(469)947-1569x778|1919-04-20|||
CUST000023|Susan|Murphy|dsmith@hotmail.com|254.659.2943x194|2024-02-27|||
CUST000024|Jason|Robinson|yvelez@yahoo.com|530-786-5669x16281|1923-12-12|||
CUST000025|Sarah|Gonzalez|moralescheyenne@yahoo.com|(621)927-7275x346|1932-04-26|||
CUST000026|Fernando|Bowers|josephsmith@gmail.com|(777)662-3902x10232|1967-10-15|||
CUST000027|Johnathan|Roberts|traceyhernandez@hotmail.com|001-584-230-4402x382|1937-07-20|||
CUST000028|Kenneth|Wilson|uhall@hotmail.com|640-535-7468x22792|1935-06-22|||
CUST000029|Andrea|Arroyo|kennethsimmons@yahoo.com|684-407-8866x29120|1965-04-05|||
CUST000030|Randy|Howell|ethan44@hotmail.com|(460)714-5284x25800|1948-03-27|||
CUST000031|Heidi|Rodriguez|hwolf@yahoo.com|(786)256-8801|1989-09-28|||
CUST000032|Terry|Chandler|rgonzalez@gmail.com|875.976.5951x9753|1995-08-22|||
CUST000033|Katherine|Martinez|alicia04@hotmail.com|+1-840-922-5351|1949-12-29|||
CUST000034|Rebecca|Davenport|jgriffin@gmail.com|(597)470-0325x17186|1949-10-05|||
CUST000035|Richard|Stewart|johnsonkayla@gmail.com|507.219.4937|1975-01-26|||
CUST000036|Brendan|Russo|michaelhawkins@yahoo.com|001-341-934-0690x441|1950-09-12|||
CUST000037|Juan|Davis|oshah@hotmail.com|479-288-6004x644|1917-09-25|||
CUST000038|David|Kim|clarkheather@hotmail.com|+1-812-614-9493x48663|1941-08-11|||
CUST000039|Ricky|Davis|zwhite@yahoo.com|209-720-4464|1911-06-06|||
CUST000040|William|Ramirez|smithrichard@gmail.com|+1-910-404-2900x38720|1996-01-25|||
CUST000041|Thomas|Jennings|lori67@gmail.com|001-363-259-2825x38823|2018-07-16|||
CUST000042|Norman|Reed|elizabeth27@hotmail.com|+1-222-860-5730|1930-01-24|||
CUST000043|Christopher|Schultz|crobinson@yahoo.com|(239)425-9036|1979-02-19|||
CUST000044|Robert|Anderson|adam06@hotmail.com|(848)840-1851x9889|1961-05-23|||
CUST000045|Roy|Torres|hudsondavid@hotmail.com|001-534-506-5798x717|1977-01-11|||
CUST000046|Amanda|Schultz|taylorryan@yahoo.com|001-219-583-2663x557|2001-04-28|||
CUST000047|Eric|Davis|manningcameron@hotmail.com|(498)630-0238x4002|1914-10-26|||
CUST000048|Joseph|Martin|howardmatthew@gmail.com|(545)548-4903x5974|1978-09-08|||
CUST000049|Marc|Johnson|michele06@hotmail.com|+1-615-736-0151x7756|1998-02-14|||
CUST000050|Nicholas|Holloway|thomashayden@gmail.com|461.464.4787x8911|1948-12-27|||
CUST000051|Jennifer|Robinson|jonesjermaine@yahoo.com|514.716.1372x201|1924-04-14|||
CUST000052|Joseph|Swanson|jflores@yahoo.com|+1-655-363-6115x0693|2013-01-19|||
CUST000053|Angela|Martin|hollymoore@yahoo.com|(382)266-1745|1977-06-25|||
CUST000054|Stacy|Hunt|jenniferdavidson@hotmail.com|970.208.7961|1987-03-22|||
CUST000055|Nancy|Johnson|ywagner@gmail.com|+1-602-794-2971x68198|1919-11-02|||
CUST000056|Pamela|Bauer|yeseniaholloway@hotmail.com|205.884.7771x2684|1952-11-27|||
CUST000057|Emily|Brooks|ugibbs@hotmail.com|+1-697-644-4980x626|2025-04-04|||
CUST000058|James|Suarez|juanmcdaniel@gmail.com|001-343-733-9528x919|1912-01-19|||
CUST000059|Brandon|Larson|carpenterbrandon@gmail.com|731.454.2396|1971-02-07|||
CUST000060|Rebecca|Berry|yevans@gmail.com|001-344-560-2691x770|1964-05-11|||
CUST000061|Yvonne|DVM|kclark@yahoo.com|3128516705|1921-07-02|||
CUST000062|Kathy|Beasley|nicholascabrera@gmail.com|(970)958-2436|1937-01-15|||
CUST000063|Jason|Avila|michelleharris@hotmail.com|(415)663-9410|2003-06-20|||
CUST000064|Brandon|Boyer|michaelbrown@gmail.com|6745658154|2005-01-26|||
